From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Akot,Akola,Sheetal Travels Akola,47,00:01:30,Non A/c,7:00:00 PM,8:30:00 PM,11480
Akot,Akola,Sheetal Travels Akola,47,00:01:30,Non A/c,5:00:00 PM,6:30:00 PM,11480
Akot,Akola,Sheetal Travels Akola,47,00:01:30,Non A/c,4:00:00 PM,5:30:00 PM,11480
Akot,Patur,Sheetal Travels Akola,77,00:01:30,Non A/c,7:00:00 PM,8:30:00 PM,11560
Hosur,Sathyamangalam,Kings Travels,217,00:05:25,"2+1, Sleeper/Seater, Non-AC",11:30:00 PM,4:55:00 AM,2260
Hosur,Marayur,Srs Travels (SRS Travels),340,00:08:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,7:00:00 AM,1230
Hosur,Karaikal,Srs Travels (SRS Travels),320,00:08:00,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,7:30:00 AM,1330
Hosur,Karaikal,KPN Travels,370,00:09:15,2+2 : NON A/C S.S 31,10:15:00 PM,7:30:00 AM,1120
Hosur,Vaikom,Kallada Travels,310,00:07:45,SEMI SLEEPER,9:05:00 PM,4:50:00 AM,1390
Hosur,Adoor,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:39:00 AM,890
Hosur,Adoor,Srs Travels (SRS Travels),480,00:12:00,"2+2, Semi Sleeper, Non-AC, Video",6:45:00 PM,6:45:00 AM,900
Hosur,Tirumangalam,Srs Travels (SRS Travels),340,00:08:30,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,7:30:00 AM,1230
Hosur,Thakkalai,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:10:00 PM,9:19:00 AM,890
Hosur,Periyakulam,Royal Travels,255,00:06:23,RoyalSemiSleeper,8:45:00 PM,3:08:00 AM,1800
Hosur,Periyakulam,Srs Travels (SRS Travels),330,00:08:15,"2+1, Sleeper, Non-AC, Non-Video",8:45:00 PM,5:00:00 AM,1280
Hosur,Perumbavoor,Kallada Travels,3009,03:03:14,SEMI SLEEPER CUM SLEEPER,7:50:00 PM,11:04:00 PM,5820
Hosur,Perumbavoor,Srs Travels (SRS Travels),390,00:09:45,"2+2, Semi Sleeper, Non-AC, Video",6:45:00 PM,4:30:00 AM,1060
Hosur,Perumbavoor,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:15:00 PM,9:24:00 AM,890
Hosur,Perumbavoor,Kallada Travels,278,00:06:57,SEMI SLEEPER CUM SLEEPER,6:55:00 PM,1:52:00 AM,1600
Hosur,Perumbavoor,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:39:00 AM,890
Hosur,Vathalagundu,Srs Travels (SRS Travels),310,00:07:45,"2+1, Sleeper, Non-AC, Non-Video",8:45:00 PM,4:30:00 AM,1390
Hosur,Moonupeedika,Kallada Travels,301,00:07:32,SEMI SLEEPER,9:40:00 PM,5:12:00 AM,1440
Hosur,Perundurai,Kallada Travels,185,00:04:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:45:00 AM,2:23:00 PM,2810
Hosur,Perundurai,Kallada Travels,199,00:04:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,7:44:00 PM,2540
Hosur,Theni,KPN Travels,330,00:08:15,BERTH SLEEPER A/C : 29,10:45:00 PM,7:00:00 AM,1280
Hosur,Theni,Kallada Travels,294,00:07:21,SEMI SLEEPER CUM SLEEPER,8:20:00 PM,3:41:00 AM,1490
Hosur,Theni,Royal Travels,255,00:06:23,RoyalSemiSleeper,8:45:00 PM,3:08:00 AM,1800
Hosur,Theni,Srs Travels (SRS Travels),353,00:08:50,"2+1, Sleeper, Non-AC, Non-Video",8:45:00 PM,5:35:00 AM,1180
Hosur,Theni,Kallada Travels,394,00:09:51,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:45:00 PM,7:36:00 AM,1050
Hosur,Madathukulam,Srs Travels (SRS Travels),260,00:06:30,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,5:00:00 AM,1760
Hosur,Mettupalayam,KPN Travels,240,00:06:00,2+2 : 33 S.S NON A/C,11:00:00 PM,5:00:00 AM,1960
Hosur,Udumalpet,Srs Travels (SRS Travels),270,00:06:45,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,6:30:00 AM,1670
Hosur,Udumalpet,KPN Travels,320,00:08:00,BERTH SLEEPER A/C : 29,11:30:00 PM,7:30:00 AM,1330
Hosur,Udumalpet,KPN Travels,440,00:11:00,2+2 : 33 S.S NON A/C,11:00:00 PM,10:00:00 AM,950
Hosur,Udumalpet,Srs Travels (SRS Travels),280,00:07:00,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,5:30:00 AM,1590
Hosur,Monipalli,Kallada Travels,315,00:07:53,SEMI SLEEPER CUM SLEEPER,7:50:00 PM,3:43:00 AM,1350
Hosur,Monipalli,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:30:00 PM,7:39:00 AM,890
Hosur,Thiruvarur,KPN Travels,400,00:10:00,2+2 S.S NON A/C : 31,9:45:00 PM,7:45:00 AM,1030
Hosur,Thiruvarur,KPN Travels,360,00:09:00,BERTH SLEEPER A/C : 29,9:15:00 PM,6:15:00 AM,1150
Hosur,Alleppey,Kallada Travels,347,00:08:41,SLEEPER CUM SEMI SLEEPER,7:45:00 PM,4:26:00 AM,1200
Hosur,Alleppey,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,7:15:00 PM,7:24:00 AM,890
Hosur,Alleppey,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,10:00:00 PM,10:09:00 AM,890
Hosur,Alleppey,Kallada Travels,324,00:08:06,SEMI SLEEPER,6:00:00 PM,2:06:00 AM,1310
Hosur,Alleppey,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,2:54:00 AM,890
Hosur,Alleppey,Bharathi Travels,350,00:08:45,"2+2, Mercedes Benz Multi Axle/Semi-Sleeper, AC, Video",9:45:00 PM,6:30:00 AM,1190
Hosur,Alleppey,KPN Travels,390,00:09:45,2+2 VOLVO A/C(MULTI AXLE) : 44,7:15:00 PM,5:00:00 AM,1060
Hosur,Munnar,Srs Travels (SRS Travels),330,00:08:15,"2+1, Sleeper, Non-AC, Non-Video",10:30:00 PM,6:45:00 AM,1280
Hosur,Munnar,Kallada Travels,352,00:08:48,SEMI SLEEPER CUM SLEEPER,8:20:00 PM,5:08:00 AM,1180
Hosur,Munnar,Royal Travels,324,00:08:06,RoyalSemiSleeper,8:45:00 PM,4:51:00 AM,1310
Hosur,Viruthunagar,Kallada Travels,370,00:09:15,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:10:00 PM,6:25:00 AM,1120
